evaluation_verdicts,loser,verdict,winner
"{""nci"":""not_supported""}",focal_hla__roc__regime_2101,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2127,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2153,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2154,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2275,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2277,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2278,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2279,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2326,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2450,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2452,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2453,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2454,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2476,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2625,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2629,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2653,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2676,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2677,not_supported,focal_hla__roc__regime_2100
"{""nci"":""not_supported""}",focal_hla__roc__regime_2100,not_supported,focal_hla__roc__regime_2101
"{""nci"":""not_supported""}",focal_hla__roc__regime_2127,not_supported,focal_hla__roc__regime_2101
"{""nci"":""not_supported""}",focal_hla__roc__regime_2153,not_supported,focal_hla__roc__regime_2101
"{""nci"":""not_supported""}",focal_hla__roc__regime_2154,not_supported,focal_hla__roc__regime_2101
