evaluation_verdicts,loser,verdict,winner
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1400,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1401,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1575,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1750,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1925,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1930,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1951,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2100,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2101,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2102,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2128,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2275,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2450,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2451,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2455,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2625,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2630,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2676,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2677,not_supported,mono_q_full_pn__pr__regime_1225
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1225,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1401,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1575,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1750,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1925,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1930,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1951,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2100,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2101,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2102,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2128,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2275,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2450,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2451,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2455,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2625,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2630,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2676,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2677,not_supported,mono_q_full_pn__pr__regime_1400
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1225,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1400,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1575,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1750,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1925,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1930,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1951,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2100,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2101,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2102,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2128,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2275,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2450,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2451,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2455,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2625,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2630,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2676,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2677,not_supported,mono_q_full_pn__pr__regime_1401
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1225,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1400,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1401,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1750,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1925,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1930,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1951,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2100,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2101,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2102,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2128,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2275,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2450,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2451,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2455,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2625,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2630,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2676,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2677,not_supported,mono_q_full_pn__pr__regime_1575
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1225,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1400,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1401,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""supported""}",mono_q_full_pn__pr__regime_1575,supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1925,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1930,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""supported""}",mono_q_full_pn__pr__regime_1951,supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2100,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2101,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2102,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2128,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2275,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2450,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2451,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2455,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2625,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2630,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2676,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2677,not_supported,mono_q_full_pn__pr__regime_1750
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1225,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1400,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1401,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1575,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_1750,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""supported""}",mono_q_full_pn__pr__regime_1930,supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""supported""}",mono_q_full_pn__pr__regime_1951,supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2100,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2101,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2102,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""supported""}",mono_q_full_pn__pr__regime_2128,supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2275,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2450,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2451,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2455,not_supported,mono_q_full_pn__pr__regime_1925
"{""nci"":""not_supported""}",mono_q_full_pn__pr__regime_2625,not_supported,mono_q_full_pn__pr__regime_1925
